pop1 pop2 pwfst ci_ll ci_ul p
MENO NMNL 0 0.0081272689202498 0.0175460244385682 S
WTFB NMNL 0.0051744225336959 -0.00360177576932685 0.0028685913637266 NS
BBDN NMNL 0.0193212976314778 0.00018772144956866 0.00687378890086071 S
PSTG NMNL 0 -0.0160281613651442 0.00203230515781252 NS
FOXR NMNL 0 -0.00218501059133202 0.00387149664906271 NS
IGPT NMNL 0.0127045695182946 0.00835783694589561 0.0350439256596111 S
EPFT NMNL 0.0273982725770965 0.0232028387981459 0.0624794270462491 S
NAUB NMNL 0.0233259023250132 0.0245235017626926 0.0647557444757795 S
MNST NMNL 0.0423279411142167 0.0298666736238914 0.0624551115020815 S
EKRP NMNL 0.00813364109778645 0.00293332068600136 0.0369308369303176 S
MSKG NMNL 0.133433030797516 0.0538941325785038 0.107558203085246 S
GOOD NMNL 0.00087126628072905 -0.00717702615781126 0.00742312323674381 NS
LTTV NMNL 0.0946719190274936 0.0758437014847268 0.156965715145128 S
CXVL NMNL 0.0670147435015609 0.0495962851904914 0.126166077708279 S
LSRF NMNL 0 -0.00525823258204881 0.00449314823018773 NS
RILY NMNL 0 -0.00709981471271748 0.00629503696266913 NS
NMNL MENO 0 0.0081272689202498 0.0175460244385682 S
WTFB MENO 0.0105938032115398 0.0112656117556703 0.0356107892467783 S
BBDN MENO 0.0121607131005049 -0.000216767437868094 0.00476799255969387 NS
PSTG MENO 0 0.0301730062535377 0.0690933981716845 S
FOXR MENO 0 0.00202647633217992 0.00988024236235467 S
IGPT MENO 0.0088529440654867 -0.000403209712372153 0.0169123842815352 NS
EPFT MENO 0.0204625804517154 0.00234137335710489 0.034750191886961 S
NAUB MENO 0.0176635358269771 0.002804162861992 0.0354527911398689 S
MNST MENO 0.0313042915399875 0.00252420341165753 0.0142601262077525 S
EKRP MENO 0.0141629067958332 0.0391838810364678 0.106806066657189 S
MSKG MENO 0.155206424362578 0.12215493865151 0.22021830735419 S
GOOD MENO 0.00685707560584075 0.020366358276259 0.0583091698263402 S
LTTV MENO 0.0835045060949039 0.030210653486094 0.111634452476202 S
CXVL MENO 0.0573352233293229 0.0170040538118027 0.0893011245565666 S
LSRF MENO 0 0.00477968134130641 0.0197897675010523 S
RILY MENO 0 0.00181454673190447 0.0276302149183857 S
NMNL WTFB 0.0051744225336959 -0.00360177576932685 0.0028685913637266 NS
MENO WTFB 0.0105938032115398 0.0112656117556703 0.0356107892467783 S
