pop1 pop2 pwfst ci_ll ci_ul p
MENO NMNL 0.00797402755648206 -0.00230374237656451 0.00150521107429382 NS
WTFB NMNL 0 -0.00501509810039535 -0.00159045549714762 NS
BBDN NMNL 0.000827167142087204 -0.00349592599439718 0.000187412127044798 NS
PSTG NMNL 0 -0.00598226176981378 0.0240490672557593 NS
FOXR NMNL 0.0465267060251146 0.0164704400519963 0.0245942619118054 S
IGPT NMNL 0 0.000997411824349823 0.0115566501232961 S
EPFT NMNL 0.00262816484974443 0.0169484442082371 0.0254590249488428 S
NAUB NMNL 0 0.00105804778272413 0.00856078093947292 S
MNST NMNL 0.00973307415354343 -0.00183447902281039 0.00260398438276634 NS
EKRP NMNL 0.0103686517741447 -0.00650936041314682 0.00198401981261841 NS
MSKG NMNL 0.00705918994634147 0.0164424363193624 0.0268462290837763 S
GOOD NMNL 0.00768950256221205 0.0276475860775794 0.0481234920029851 S
LTTV NMNL 0 0.00741589939782649 0.0216765967367333 S
CXVL NMNL 0.000694075339898692 -0.00255388274956621 0.0117653779197016 NS
LSRF NMNL 0 -0.00225246194250578 0.00343974268179855 NS
RILY NMNL 0 -0.0103652482523555 -0.00569876551424959 NS
NMNL MENO 0.00797402755648206 -0.00230374237656451 0.00150521107429382 NS
WTFB MENO 0.00357036069168858 -0.00605253221192631 -0.00453516695083592 NS
BBDN MENO 0.00882646662707644 -0.000388520955585094 0.0121338109104343 NS
PSTG MENO 0 0.00427614578563077 0.0547289247139424 S
FOXR MENO 0.0133109333129137 0.0292578745301455 0.0389074222421896 S
IGPT MENO 0.0254483625126515 -0.00340209797033516 0.00224369395501622 NS
EPFT MENO 0.0318415974966434 0.0101689142667822 0.0186784171980573 S
NAUB MENO 0.0225546189023809 -0.00276069311977511 0.00062272421763603 NS
MNST MENO 0.00906978687282357 -0.0011728018666252 0.00264334343415097 NS
EKRP MENO 0.0169697071245145 -0.00753037428287112 -0.0045902067191324 NS
MSKG MENO 0.0386086054239739 0.0115982177977496 0.0223966848961405 S
GOOD MENO 0.0390347470946846 0.0320554003377961 0.0489791596837679 S
LTTV MENO 0.0334833366149993 0.000698868146457038 0.0148837916994497 S
CXVL MENO 0.0184802986244007 -0.00514157731140614 -0.000647593545453941 NS
LSRF MENO 0.00852218506048338 -0.00170734296318776 0.0034183386497132 NS
RILY MENO 0 -0.0103308205444657 -0.00575127793148905 NS
NMNL WTFB 0 -0.00501509810039535 -0.00159045549714762 NS
MENO WTFB 0.00357036069168858 -0.00605253221192631 -0.00453516695083592 NS
BBDN WTFB 0 -0.00279004234989579 0.00764457151276697 NS
PSTG WTFB 0 5.50058400790767e-05 0.0519173631696403 S
FOXR WTFB 0.0336373716501991 0.0256257918911714 0.0382059241953062 S
IGPT WTFB 0 -0.0044142803467351 0.000233025898716642 NS
EPFT WTFB 0.0089183126971735 0.0102050157245626 0.0188732747791639 S
NAUB WTFB 0.00054397975564085 -0.00345225452659296 0.00117980330444248 NS
MNST WTFB 0 -0.00590251617996116 -0.00218576731695478 NS
EKRP WTFB 0 -0.0121702468116947 -0.00883112641793982 NS
MSKG WTFB 0.0198625086082172 0.0112873877596898 0.0231444066369268 S
GOOD WTFB 0.0224191790574954 0.032097620559727 0.0480222175960243 S
LTTV WTFB 0.00635215461427938 0.00193270754121391 0.0157042584547524 S
CXVL WTFB 0 -0.00751070560360068 -0.00119894350375203 NS
LSRF WTFB 0 -0.00331530963976608 0.00137870708305874 NS
RILY WTFB 0 -0.013860159171023 -0.00828306658870677 NS
NMNL BBDN 0.000827167142087204 -0.00349592599439718 0.000187412127044798 NS
MENO BBDN 0.00882646662707644 -0.000388520955585094 0.0121338109104343 NS
WTFB BBDN 0 -0.00279004234989579 0.00764457151276697 NS
PSTG BBDN 0 -0.0111784910536558 0.00984643099037837 NS
FOXR BBDN 0.0378759089031281 0.015334758266634 0.0253211671681418 S
IGPT BBDN 0.00186757310010391 0.00356962440731798 0.0268301976418149 S
EPFT BBDN 0.0137746242272116 0.0197681176478771 0.0346718298230003 S
NAUB BBDN 0.00498428819098996 0.00302769845902246 0.0230463440378489 S
MNST BBDN 0 0.00101910176006354 0.0140066415982656 S
EKRP BBDN 0 -0.00288583768174065 0.017398318653005 NS
MSKG BBDN 0.0281099559528807 0.0208588004697243 0.0306813355369498 S
GOOD BBDN 0.0349901467583718 0.0200650178933219 0.0402381786989104 S
LTTV BBDN 0.0152131281333909 0.0104241149584973 0.0294316415191499 S
CXVL BBDN 0 0.000399335025852474 0.0287063825147353 S
LSRF BBDN 0.0035717435438616 -0.000252340120049853 0.00652923366395171 NS
RILY BBDN 0 -0.00729024493956363 0.00357604597225214 NS
NMNL PSTG 0 -0.00598226176981378 0.0240490672557593 NS
MENO PSTG 0 0.00427614578563077 0.0547289247139424 S
