pop1 pop2 pwfst ci_ll ci_ul p
MENO NMNL 0 -0.00016992175854243 0.00816361606520639 NS
WTFB NMNL 0 -0.00493455106198482 0.00105950286046796 NS
BBDN NMNL 0.000581485753397456 -0.00482019687361738 -0.00325562962914145 NS
PSTG NMNL 0 -0.0225761594018945 -0.00357574789013452 NS
FOXR NMNL 0.0025472727264126 -0.00360727777897947 -0.000252043090195627 NS
IGPT NMNL 0.0263480094328658 0.00415921314253625 0.0305646134250129 S
EPFT NMNL 0.0245112823985459 0.0157270340108366 0.0486668051711029 S
NAUB NMNL 0.126235817026512 0.105488135921997 0.171484231864279 S
MNST NMNL 0.00116252225516457 0.000778095342236373 0.0162740759273707 S
EKRP NMNL 0.0333872456539325 0.0210336003466222 0.0482773484089723 S
MSKG NMNL 0.055116874931989 0.0284163028586156 0.0718841494203778 S
GOOD NMNL 0.133078832360343 0.0796466573163427 0.148697530667683 S
LTTV NMNL 0.382558666423104 0.295192017376767 0.481459549775976 S
CXVL NMNL 0.388927095095036 0.336505346279724 0.450981593688366 S
LSRF NMNL 0.000714920935014253 -0.00422029343164707 0.00564266694932481 NS
RILY NMNL 0 -0.0137439770186659 -0.00599721450934133 NS
NMNL MENO 0 -0.00016992175854243 0.00816361606520639 NS
WTFB MENO 0 -0.00603790213651752 -0.00384086148689815 NS
BBDN MENO 0.00671272350987685 7.93078896547588e-05 0.00953582764542421 S
PSTG MENO 0 -0.0175934689256658 0.000969852533703551 NS
FOXR MENO 0 0.00472555220938252 0.0143272867555437 S
IGPT MENO 0.0187690534643633 0.0196458535500569 0.0541540926877058 S
EPFT MENO 0.022743869812787 0.0126335016272794 0.0365326032287266 S
NAUB MENO 0.12162943658314 0.094468562458003 0.160813401854996 S
MNST MENO 0.00636680218388651 -0.00555198193956619 -0.00206140316383514 NS
EKRP MENO 0.0184840893003642 0.0380307003163036 0.0798186054411859 S
MSKG MENO 0.043363029977815 0.0407427003249228 0.0807317238460261 S
GOOD MENO 0.120575236120544 0.0772765787626165 0.150225469348665 S
