pop1 pop2 pwfst ci_ll ci_ul p
MENO NMNL 0 -0.00319091728794826 -6.30452345292986e-05 NS
WTFB NMNL 0.0117906387932551 0.000427338955399335 0.0128480885543918 S
BBDN NMNL 0.00548201466499613 -0.00382231582902247 0.00125036207447436 NS
PSTG NMNL 0 -0.0314122097551363 -0.0122808657156216 NS
FOXR NMNL 0 0.00328391794466042 0.016334858562118 S
IGPT NMNL 0.224427470857705 0.208820887521156 0.25168665371475 S
EPFT NMNL 0.0117688014304907 0.0137073831220435 0.0405216383197567 S
NAUB NMNL 0.0396735399430234 0.0284526983791351 0.0916448964129339 S
MNST NMNL 0 -0.00815337507220746 -0.00165603043957956 NS
EKRP NMNL 0.0453080960538469 0.0587342822112541 0.133312141385172 S
MSKG NMNL 0.0557930923651331 0.0631330786531656 0.103108845638501 S
GOOD NMNL 0.072376938687811 0.0234131057859994 0.0506848461942821 S
LTTV NMNL 0.174366662645473 0.138316722931161 0.243582429743284 S
CXVL NMNL 0.115947376909589 0.128845555630344 0.156747041183469 S
LSRF NMNL 0.00207966617490586 0.00539487903166174 0.0143773476482658 S
RILY NMNL 0 -0.0111046798471526 0.0145020743995101 NS
NMNL MENO 0 -0.00319091728794826 -6.30452345292986e-05 NS
WTFB MENO 0.00769587088955505 0.00984480732628634 0.0343816716479006 S
BBDN MENO 0.00253357279934316 -0.00426051617246454 0.00794889107728114 NS
PSTG MENO 0 -0.0266929402571344 -0.00623246634465715 NS
FOXR MENO 0.00134853626866959 0.012513669231772 0.0315364540824715 S
IGPT MENO 0.238347327482403 0.240284208752972 0.278568333583804 S
EPFT MENO 0.0204776257739768 0.0280181089189065 0.0579707500265015 S
NAUB MENO 0.0489392317201598 0.0491619334999463 0.107262310606476 S
MNST MENO 0 -0.00535285155400853 0.00269017814146115 NS
EKRP MENO 0.053000544678433 0.0811347744468204 0.173737249253409 S
MSKG MENO 0.0676955002378705 0.0833919321583019 0.138586450354161 S
GOOD MENO 0.0850716470418282 0.0406072937983495 0.0760159332236191 S
LTTV MENO 0.185738008737675 0.170600295298632 0.268912188914085 S
CXVL MENO 0.131193981851403 0.155663534633795 0.19190367972032 S
LSRF MENO 0.00639057853321632 0.015413380279449 0.0356300553150068 S
RILY MENO 0 -0.00649530435331369 0.0299700807272615 NS
NMNL WTFB 0.0117906387932551 0.000427338955399335 0.0128480885543918 S
MENO WTFB 0.00769587088955505 0.00984480732628634 0.0343816716479006 S
BBDN WTFB 0 -0.00154874400638106 0.0171752543550066 NS
PSTG WTFB 0 -0.0234858541440518 0.0272396098371359 NS
FOXR WTFB 0.0224617408236294 -0.00769905847202767 -0.00411777477479231 NS
IGPT WTFB 0.3263848583643 0.136008977201212 0.193643902862198 S
EPFT WTFB 0.0521893391940968 -0.00741410006754898 0.00449104554063649 NS
NAUB WTFB 0.0857754068619531 -0.00560573845940935 0.0652104866692456 NS
MNST WTFB 0.00244212939535694 0.00174272896122652 0.0207911354571173 S
EKRP WTFB 0.107687084639591 0.00982227239727871 0.0610178052941118 S
MSKG WTFB 0.126197340039128 0.0143158315750007 0.0404591653754208 S
GOOD WTFB 0.145154850729992 -0.00888293430170843 0.00427459930944132 NS
LTTV WTFB 0.252509826014623 0.0801158639169784 0.193203684083583 S
CXVL WTFB 0.195987460963832 0.0576586732374261 0.100083894070485 S
LSRF WTFB 0.0331910591892565 -0.00802574313533056 -0.00240422453775037 NS
RILY WTFB 0.0150803042252367 -0.0139427860197484 0.00691687870135867 NS
NMNL BBDN 0.00548201466499613 -0.00382231582902247 0.00125036207447436 NS
MENO BBDN 0.00253357279934316 -0.00426051617246454 0.00794889107728114 NS
WTFB BBDN 0 -0.00154874400638106 0.0171752543550066 NS
PSTG BBDN 0 -0.0330657933861978 0.00573934056220936 NS
FOXR BBDN 0.0156047316837577 0.0030565846460724 0.0117490331217089 S
IGPT BBDN 0.290604889679657 0.193879755587853 0.262023019183409 S
EPFT BBDN 0.0406422473385291 0.0126148371338868 0.040893100630411 S
NAUB BBDN 0.0707511011130044 0.0252628117594478 0.0886496610012011 S
MNST BBDN 0 -0.00807302538050226 -0.00217096566446147 NS
EKRP BBDN 0.094153363405672 0.0565509636319734 0.120287009843348 S
MSKG BBDN 0.105969051293645 0.0529851019921344 0.116884912658895 S
GOOD BBDN 0.124144290869268 0.0158107239369993 0.0613140189920706 S
LTTV BBDN 0.224481857488585 0.139236911072106 0.262098443240113 S
CXVL BBDN 0.172402811771065 0.113238350835568 0.17500100809093 S
LSRF BBDN 0.0242566161889918 0.00291594139223872 0.0242937176754193 S
RILY BBDN 0.00994335413019858 -0.013543958289999 0.00180606355140703 NS
NMNL PSTG 0 -0.0314122097551363 -0.0122808657156216 NS
MENO PSTG 0 -0.0266929402571344 -0.00623246634465715 NS
WTFB PSTG 0 -0.0234858541440518 0.0272396098371359 NS
BBDN PSTG 0 -0.0330657933861978 0.00573934056220936 NS
FOXR PSTG 0.00716875464416618 -0.0214004142520012 0.0401742287655863 NS
IGPT PSTG 0.383098941546239 0.245297806470977 0.35507534484127 S
EPFT PSTG 0.0457266131729608 -0.00649817760767345 0.0727722335627486 NS
NAUB PSTG 0.0875804253714857 0.0093724117261787 0.134649181153362 S
MNST PSTG 0 -0.0256280771861063 -0.00617248671402064 NS
EKRP PSTG 0.0979061912392487 0.0356009919236972 0.17070086475964 S
MSKG PSTG 0.133685739724874 0.0615936934007723 0.138141819637102 S
GOOD PSTG 0.16324821425486 0.0103753380746194 0.0755008731074716 S
LTTV PSTG 0.297479044699038 0.134857462716316 0.319037441479049 S
CXVL PSTG 0.210776294295025 0.123725611132624 0.210551172547559 S
LSRF PSTG 0.0364664610348117 -0.00485810443875283 0.0389985599839831 NS
RILY PSTG 0.00124112767474784 -0.0447603228240604 0.0329715070155671 NS
NMNL FOXR 0 0.00328391794466042 0.016334858562118 S
MENO FOXR 0.00134853626866959 0.012513669231772 0.0315364540824715 S
WTFB FOXR 0.0224617408236294 -0.00769905847202767 -0.00411777477479231 NS
BBDN FOXR 0.0156047316837577 0.0030565846460724 0.0117490331217089 S
PSTG FOXR 0.00716875464416618 -0.0214004142520012 0.0401742287655863 NS
IGPT FOXR 0.190085211736451 0.126566899494374 0.172823878630427 S
EPFT FOXR 0.000529833038918711 -0.00676536944142446 0.000109763082289276 NS
NAUB FOXR 0.0223553106587735 -0.00220944708939558 0.0429604055624478 NS
MNST FOXR 0.00517345975270217 0.00299881887080115 0.0229172468451655 S
EKRP FOXR 0.0215022743579371 0.0132113523933405 0.0558670652515154 S
MSKG FOXR 0.0365825130561724 0.0139883286708522 0.0481841945082685 S
GOOD FOXR 0.0495769755564851 -0.0103530301812049 0.00906827452754077 NS
LTTV FOXR 0.150105869049392 0.0909627926913239 0.174823422052681 S
CXVL FOXR 0.0897690303293536 0.0585912572454087 0.0924766001629801 S
LSRF FOXR 0 -0.0067516557425801 -0.00288317989228144 NS
RILY FOXR 0 -0.0140084319778147 0.00567062213493125 NS
NMNL IGPT 0.224427470857705 0.208820887521156 0.25168665371475 S
MENO IGPT 0.238347327482403 0.240284208752972 0.278568333583804 S
WTFB IGPT 0.3263848583643 0.136008977201212 0.193643902862198 S
BBDN IGPT 0.290604889679657 0.193879755587853 0.262023019183409 S
PSTG IGPT 0.383098941546239 0.245297806470977 0.35507534484127 S
FOXR IGPT 0.190085211736451 0.126566899494374 0.172823878630427 S
EPFT IGPT 0.143977954106516 0.0944615938345488 0.139223889164382 S
NAUB IGPT 0.119638205506704 0.0624842733677358 0.107136595160254 S
MNST IGPT 0.283770702387354 0.230911953469722 0.293106329290377 S
EKRP IGPT 0.100179381916634 0.0106469357259185 0.069900325824759 S
MSKG IGPT 0.069345937177651 0.0262578165852858 0.0679611924876279 S
GOOD IGPT 0.0491315747923383 0.0702805553335678 0.122759852056777 S
LTTV IGPT 0.0417925533108686 -0.0292976292432668 0.110126656756353 NS
CXVL IGPT 0.0198649831595276 -0.000149391506734923 0.0140928111356809 NS
LSRF IGPT 0.180584933055304 0.129982541401662 0.174857379791142 S
RILY IGPT 0.266742523479836 0.163196932400963 0.287181931102789 S
NMNL EPFT 0.0117688014304907 0.0137073831220435 0.0405216383197567 S
MENO EPFT 0.0204776257739768 0.0280181089189065 0.0579707500265015 S
WTFB EPFT 0.0521893391940968 -0.00741410006754898 0.00449104554063649 NS
BBDN EPFT 0.0406422473385291 0.0126148371338868 0.040893100630411 S
PSTG EPFT 0.0457266131729608 -0.00649817760767345 0.0727722335627486 NS
FOXR EPFT 0.000529833038918711 -0.00676536944142446 0.000109763082289276 NS
IGPT EPFT 0.143977954106516 0.0944615938345488 0.139223889164382 S
NAUB EPFT 0.0020281679415412 -0.010849810761166 0.0239982950345438 NS
MNST EPFT 0.0298018211583354 0.0179380993950989 0.0535654980608365 S
