pop1 pop2 pwfst ci_ll ci_ul p
MENO NMNL 0.0046362548135459 -0.00287416067760549 -0.00128952639968496 NS
WTFB NMNL 0.00207666294604007 -0.000589787320015757 0.01121110813109 NS
BBDN NMNL 0.00572719525610652 -0.00314407799932528 0.00381079841820373 NS
PSTG NMNL 0 -0.0105534280937212 0.049569275530333 NS
FOXR NMNL 0.00818415841355645 -0.00416078428171814 0.0124660970201748 NS
IGPT NMNL 0.394627221812764 0.288397677027154 0.403705782978905 S
EPFT NMNL 0 -0.00106574406238698 0.0163607572022126 NS
NAUB NMNL 0.00653434369695384 -0.00140375721606009 0.0129193763798284 NS
MNST NMNL 0.0055189211507073 -0.00620376991122173 -0.00274201856835466 NS
EKRP NMNL 0.191796492756786 0.0995653250237989 0.160848703561379 S
MSKG NMNL 0.0370690375906325 0.012346811710368 0.0486652898134317 S
GOOD NMNL 0.0634412376840055 -0.0077784858703348 0.00941658962415595 NS
LTTV NMNL 0.0234348070102734 0.00201296889323847 0.052472143737729 S
CXVL NMNL 0.019233182775465 0.0163187825805457 0.0484080669901854 S
LSRF NMNL 0.00626882494885667 -0.00483560215033778 0.00118105183893383 NS
RILY NMNL 0.0647692907442228 0.00951033106000426 0.0606513384382602 S
NMNL MENO 0.0046362548135459 -0.00287416067760549 -0.00128952639968496 NS
WTFB MENO 0 0.0014232347568518 0.0179419817670223 S
BBDN MENO 0 -0.00409659047328859 -0.00192131333377481 NS
PSTG MENO 0.00290718024935138 -0.00880395487614344 0.0332941750231281 NS
FOXR MENO 0 -0.00312263182648875 0.00461869691260679 NS
IGPT MENO 0.342309658021846 0.273168423757515 0.403967098269052 S
EPFT MENO 0.006530663706362 0.00239459331271621 0.0153432312014327 S
NAUB MENO 0.00381077653050289 -0.000630033867630345 0.00963655088318076 NS
MNST MENO 0 -0.00737590908620466 -0.00021923993277395 NS
EKRP MENO 0.122011031998592 0.0897076542432215 0.142026456970535 S
MSKG MENO 0.008157336921402 0.00865567610569561 0.0381374635867346 S
GOOD MENO 0.0254460325459705 -0.00950653853446419 0.000433305035326148 NS
LTTV MENO 0.0312018924456647 0.00819143814639784 0.052846243926863 S
CXVL MENO 0.0352439453085849 0.0152386713023407 0.0466143703753822 S
LSRF MENO 0 -0.00590245128401931 -0.000108123231010764 NS
RILY MENO 0.0216002105225135 0.0077078362020986 0.0427549782458459 S
NMNL WTFB 0.00207666294604007 -0.000589787320015757 0.01121110813109 NS
MENO WTFB 0 0.0014232347568518 0.0179419817670223 S
BBDN WTFB 0 0.00452694816556152 0.0240226746218479 S
PSTG WTFB 0.00508203859174098 0.0304224377726771 0.0991036905000998 S
FOXR WTFB 0 0.00390179167900576 0.0282491848068274 S
IGPT WTFB 0.312587106709706 0.297060807803979 0.377624536693991 S
EPFT WTFB 0.00575463880651405 -0.00729965987887284 -0.000499155560453176 NS
NAUB WTFB 0.00554189972205621 0.00162722554155178 0.0202926696669472 S
MNST WTFB 0 0.00183515571782176 0.0233361327852196 S
EKRP WTFB 0.131549939480534 0.131468238899114 0.214388824355041 S
MSKG WTFB 0.0158775457578303 0.0382591918025847 0.0915428051026873 S
GOOD WTFB 0.033267649012092 0.00257187419493543 0.0286890147833338 S
LTTV WTFB 0.037256229083145 -0.00700797400949109 0.0570749267462364 NS
CXVL WTFB 0.0403571003341914 9.12553098344246e-05 0.019040391522758 S
LSRF WTFB 0 0.00173440245579392 0.0340798290483785 S
RILY WTFB 0.0252139735696011 0.033234888035369 0.129319152391738 S
NMNL BBDN 0.00572719525610652 -0.00314407799932528 0.00381079841820373 NS
MENO BBDN 0 -0.00409659047328859 -0.00192131333377481 NS
WTFB BBDN 0 0.00452694816556152 0.0240226746218479 S
PSTG BBDN 0.00555750848755369 -0.0147780674544403 0.0293715552492487 NS
FOXR BBDN 0 -0.00396488082953938 -0.000695681613600519 NS
IGPT BBDN 0.316294166488509 0.241510479871666 0.367949448356336 S
EPFT BBDN 0.00671669331331477 0.00556386699194358 0.0253075047688167 S
NAUB BBDN 0.00297881999323152 -0.00111914770711048 0.0099270387151837 NS
MNST BBDN 0 -0.00742583203484184 0.00131510331452976 NS
EKRP BBDN 0.109765492412088 0.0708224044080132 0.115021525795097 S
MSKG BBDN 0.00729956761900688 0.00366720402098457 0.0268187496513166 S
GOOD BBDN 0.0176917485732337 -0.0117464641888371 0.000473831708077693 NS
LTTV BBDN 0.0312632749361092 0.00966768221516598 0.0602197322705926 S
CXVL BBDN 0.035001098367995 0.0183015386672225 0.0571804336214918 S
LSRF BBDN 0 -0.00471302444169605 0.000800835922691905 NS
RILY BBDN 0.0148704538965704 -0.00121223164264906 0.038176897537842 NS
NMNL PSTG 0 -0.0105534280937212 0.049569275530333 NS
MENO PSTG 0.00290718024935138 -0.00880395487614344 0.0332941750231281 NS
WTFB PSTG 0.00508203859174098 0.0304224377726771 0.0991036905000998 S
BBDN PSTG 0.00555750848755369 -0.0147780674544403 0.0293715552492487 NS
FOXR PSTG 0.00945556165746067 -0.00748863964963943 0.0399204310778311 NS
IGPT PSTG 0.2711221823884 0.141647253543046 0.240157661898562 S
EPFT PSTG 0 0.0264355031091412 0.10248925754792 S
NAUB PSTG 0 0.00549385070711641 0.0385356676630313 S
MNST PSTG 0.0137784698955992 -0.0112083774136987 0.0371664359194114 NS
EKRP PSTG 0.128720885004442 0.00771035802893439 0.066289227349641 S
MSKG PSTG 0.0249286885082574 -0.0236695936556269 -0.00869415631962567 NS
GOOD PSTG 0.0536773160139606 -0.00893330388310726 0.025641284106438 NS
LTTV PSTG 0 -0.00702062165664763 0.122218928857689 NS
CXVL PSTG 0 0.0319220174039988 0.138930081179814 S
LSRF PSTG 0.0212685138632353 -0.0066799502779439 0.0636714120846413 NS
RILY PSTG 0.0694522312914786 -0.0200342497470397 0.0310780062956991 NS
NMNL FOXR 0.00818415841355645 -0.00416078428171814 0.0124660970201748 NS
MENO FOXR 0 -0.00312263182648875 0.00461869691260679 NS
WTFB FOXR 0 0.00390179167900576 0.0282491848068274 S
BBDN FOXR 0 -0.00396488082953938 -0.000695681613600519 NS
PSTG FOXR 0.00945556165746067 -0.00748863964963943 0.0399204310778311 NS
IGPT FOXR 0.343184888752261 0.237694952548332 0.365059524793978 S
EPFT FOXR 0.0109353204620115 0.00866629078744625 0.0272710608211575 S
NAUB FOXR 0.00698669631303246 -0.0023996722962052 0.00943396625999093 NS
MNST FOXR 0.00192382305131302 -0.00546883765614043 0.00190907488585553 NS
EKRP FOXR 0.131032927254213 0.0613803068125388 0.124314801483205 S
MSKG FOXR 0.0197355885535036 0.00698679319524976 0.034767878729013 S
GOOD FOXR 0.0362731724365232 -0.00996475921775915 0.00405310993023095 NS
LTTV FOXR 0.0413450675988209 0.0124500778773809 0.0713957132362331 S
CXVL FOXR 0.0400143688758365 0.021811929463822 0.056520569438929 S
LSRF FOXR 0.00157730612185443 -0.00420276094094148 0.00450532924474277 NS
RILY FOXR 0.0193742196168833 -0.00185212582997872 0.0224252195990996 NS
NMNL IGPT 0.394627221812764 0.288397677027154 0.403705782978905 S
MENO IGPT 0.342309658021846 0.273168423757515 0.403967098269052 S
WTFB IGPT 0.312587106709706 0.297060807803979 0.377624536693991 S
BBDN IGPT 0.316294166488509 0.241510479871666 0.367949448356336 S
PSTG IGPT 0.2711221823884 0.141647253543046 0.240157661898562 S
FOXR IGPT 0.343184888752261 0.237694952548332 0.365059524793978 S
